"Path","Line","TableOrObject","AccessType","OwningFeature","ReplacementTarget","EstimatedComplexity","Snippet"
"TodoX.Web.Tests\RenderVideoJobsLayoutTests.cs","161","todox_ai_provider","write-or-ddl","render","todox_ai_provider","medium","Assert.Contains(""""todox_ai_provider_usage_log"""", service);"
"TodoX.Web.Tests\RenderVideoJobsLayoutTests.cs","161","todox_ai_provider_usage_log","write-or-ddl","render","todox_ai_provider_usage_log","medium","Assert.Contains(""""todox_ai_provider_usage_log"""", service);"
"TodoX.Web.Tests\RenderJobServiceTests.cs","15","render_jobs","reference","render","render_jobs","low","Assert.Equal(""""render.render_jobs:render_scene_images:123"""", first);"
"TodoX.Web.Tests\RenderJobServiceTests.cs","24","render_jobs","reference","render","render_jobs","low","Pg(""""23502"""", schema: """"render"""", table: """"render_jobs"""", column: """"customer_id"""")));"
"TodoX.Web.Tests\RenderJobServiceTests.cs","27","render_jobs","reference","render","render_jobs","low","Pg(""""23502"""", schema: """"public"""", table: """"render_jobs"""", column: """"customer_id"""")));"
"TodoX.Web.Tests\RenderJobServiceTests.cs","31","render_jobs","reference","render","render_jobs","low","Pg(""""23502"""", schema: """"render"""", table: """"render_jobs"""", column: """"tenant_id"""")));"
"TodoX.Web.Tests\RenderJobServiceTests.cs","33","render_jobs","reference","render","render_jobs","low","Pg(""""23503"""", schema: """"render"""", table: """"render_jobs"""", column: """"customer_id"""")));"
"TodoX.Web.Tests\DanceSellPhase2ValidationTests.cs","47","dance_sell_jobs","read","dance_sell","dance_sell_jobs","low","var extendSql = File.ReadAllText(Path.Combine(root, """"database/manual/kie-dance-sell-phase2/01_extend_dance_sell_jobs.sql""""));"
"TodoX.Web.Tests\DanceSellPhase2ValidationTests.cs","52","dance_sell_reference_versions","reference","dance_sell","dance_sell_reference_versions","low","Assert.Contains(""""dance_sell_reference_versions"""", versionsSql);"
"TodoX.Web.Tests\DanceSellPhase2ValidationTests.cs","53","dance_sell_reference_versions","reference","dance_sell","dance_sell_reference_versions","low","Assert.Contains(""""dance_sell_reference_versions_one_selected_uk"""", versionsSql);"
