table_schema,table_name,column_name,data_type,is_nullable,column_default
billing,ai_image_billing_records,id,uuid,NO,gen_random_uuid()
billing,ai_image_billing_records,tenant_id,uuid,NO,
billing,ai_image_billing_records,logical_request_id,text,NO,
billing,ai_image_billing_records,render_job_id,text,YES,
billing,ai_image_billing_records,customer_id,uuid,YES,
billing,ai_image_billing_records,user_id,uuid,YES,
billing,ai_image_billing_records,wallet_id,uuid,YES,
billing,ai_image_billing_records,payer_type,text,NO,'customer'::text
billing,ai_image_billing_records,payer_customer_id,uuid,YES,
billing,ai_image_billing_records,payer_wallet_id,uuid,YES,
billing,ai_image_billing_records,provider_id,bigint,NO,
billing,ai_image_billing_records,provider_capability_id,bigint,NO,
billing,ai_image_billing_records,provider_code,text,NO,
billing,ai_image_billing_records,capability_code,text,NO,
billing,ai_image_billing_records,feature_code,text,NO,
billing,ai_image_billing_records,requested_model,text,YES,
billing,ai_image_billing_records,actual_model,text,YES,
billing,ai_image_billing_records,provider_task_id,text,YES,
billing,ai_image_billing_records,provider_estimated_cost_usd,numeric,NO,0
billing,ai_image_billing_records,total_provider_estimated_cost_usd,numeric,NO,0
billing,ai_image_billing_records,provider_actual_cost_usd,numeric,YES,
billing,ai_image_billing_records,total_provider_actual_cost_usd,numeric,YES,
billing,ai_image_billing_records,actual_cost_incomplete,boolean,NO,false
billing,ai_image_billing_records,provider_cost_source,text,NO,'configured_tariff'::text
billing,ai_image_billing_records,tariff_snapshot_json,jsonb,YES,
billing,ai_image_billing_records,exchange_rate_vnd_per_usd,numeric,NO,8000
billing,ai_image_billing_records,todox_vnd_per_point,numeric,NO,10000
billing,ai_image_billing_records,provider_cost_points,numeric,NO,0
billing,ai_image_billing_records,customer_charged_points,numeric,NO,0
billing,ai_image_billing_records,system_charged_points,numeric,NO,0
billing,ai_image_billing_records,billing_exempt,boolean,NO,false
billing,ai_image_billing_records,exemption_reason,text,YES,
billing,ai_image_billing_records,wallet_transaction_id,uuid,YES,
billing,ai_image_billing_records,status,text,NO,
billing,ai_image_billing_records,error_message,text,YES,
billing,ai_image_billing_records,metadata_json,jsonb,YES,
billing,ai_image_billing_records,created_by,text,YES,
billing,ai_image_billing_records,reserved_until,timestamp with time zone,YES,
billing,ai_image_billing_records,pending_reconciliation_at,timestamp with time zone,YES,
billing,ai_image_billing_records,reconciliation_attempt_count,integer,NO,0
billing,ai_image_billing_records,reconciliation_lock_owner,text,YES,
billing,ai_image_billing_records,reconciliation_lock_until,timestamp with time zone,YES,
billing,ai_image_billing_records,created_at,timestamp with time zone,NO,now()
billing,ai_image_billing_records,updated_at,timestamp with time zone,NO,now()
billing,ai_image_billing_records,completed_at,timestamp with time zone,YES,
billing,ai_image_billing_records,failed_at,timestamp with time zone,YES,
billing,ai_image_provider_attempts,id,uuid,NO,gen_random_uuid()
billing,ai_image_provider_attempts,billing_record_id,uuid,NO,
billing,ai_image_provider_attempts,attempt_number,integer,NO,
billing,ai_image_provider_attempts,model_name,text,YES,
billing,ai_image_provider_attempts,provider_task_id,text,YES,
billing,ai_image_provider_attempts,success,boolean,NO,false
billing,ai_image_provider_attempts,provider_estimated_cost_usd,numeric,YES,
billing,ai_image_provider_attempts,provider_actual_cost_usd,numeric,YES,
billing,ai_image_provider_attempts,cost_source,text,YES,
billing,ai_image_provider_attempts,error_code,text,YES,
billing,ai_image_provider_attempts,error_message,text,YES,
billing,ai_image_provider_attempts,raw_usage_json,jsonb,YES,
billing,ai_image_provider_attempts,started_at,timestamp with time zone,YES,
billing,ai_image_provider_attempts,completed_at,timestamp with time zone,YES,
billing,ai_image_provider_attempts,created_at,timestamp with time zone,NO,now()
billing,token_transactions,id,uuid,NO,gen_random_uuid()
billing,token_transactions,tenant_id,uuid,NO,
billing,token_transactions,wallet_id,uuid,NO,
billing,token_transactions,transaction_type,character varying,NO,
billing,token_transactions,amount,numeric,NO,
billing,token_transactions,balance_before,numeric,NO,
billing,token_transactions,balance_after,numeric,NO,
billing,token_transactions,reference_type,character varying,YES,
billing,token_transactions,reference_id,uuid,YES,
billing,token_transactions,description,text,YES,
billing,token_transactions,created_at,timestamp with time zone,NO,now()
billing,token_transactions,created_by,uuid,YES,
billing,token_usage_logs,id,uuid,NO,gen_random_uuid()
billing,token_usage_logs,tenant_id,uuid,YES,
billing,token_usage_logs,user_id,uuid,YES,
billing,token_usage_logs,customer_id,uuid,YES,
billing,token_usage_logs,provider_code,character varying,YES,
billing,token_usage_logs,model_code,character varying,YES,
billing,token_usage_logs,operation,character varying,NO,
billing,token_usage_logs,quantity,integer,NO,1
billing,token_usage_logs,unit,character varying,YES,'image'::character varying
billing,token_usage_logs,token_cost,numeric,NO,0
billing,token_usage_logs,charged,boolean,NO,false
billing,token_usage_logs,reference_type,character varying,YES,
billing,token_usage_logs,reference_id,uuid,YES,
billing,token_usage_logs,endpoint_code,character varying,YES,
billing,token_usage_logs,status,character varying,NO,'success'::character varying
billing,token_usage_logs,metadata,jsonb,YES,'{}'::jsonb
billing,token_usage_logs,created_at,timestamp with time zone,NO,now()
billing,token_wallets,id,uuid,NO,gen_random_uuid()
billing,token_wallets,tenant_id,uuid,NO,
billing,token_wallets,customer_id,uuid,YES,
billing,token_wallets,balance,numeric,NO,0
billing,token_wallets,locked_balance,numeric,NO,0
billing,token_wallets,status,character varying,NO,'active'::character varying
billing,token_wallets,created_at,timestamp with time zone,NO,now()
billing,token_wallets,updated_at,timestamp with time zone,YES,
billing,token_wallets,wallet_scope,text,NO,'customer'::text
billing,token_wallets,wallet_code,text,YES,
billing,token_wallets,overdraft_limit,numeric,NO,0
billing,token_wallets,low_balance_threshold,numeric,NO,0
dance_sell,dance_sell_jobs,id,uuid,NO,gen_random_uuid()
dance_sell,dance_sell_jobs,tenant_id,uuid,YES,
dance_sell,dance_sell_jobs,customer_id,uuid,YES,
dance_sell,dance_sell_jobs,user_id,uuid,YES,
dance_sell,dance_sell_jobs,render_job_id,uuid,YES,
dance_sell,dance_sell_jobs,logical_request_id,text,NO,
dance_sell,dance_sell_jobs,status,text,NO,'queued'::text
dance_sell,dance_sell_jobs,prompt,text,NO,
dance_sell,dance_sell_jobs,character_image_url,text,NO,
dance_sell,dance_sell_jobs,motion_video_url,text,NO,
dance_sell,dance_sell_jobs,mode,text,NO,'720p'::text
dance_sell,dance_sell_jobs,character_orientation,text,NO,'image'::text
dance_sell,dance_sell_jobs,provider_code,text,NO,'kie'::text
dance_sell,dance_sell_jobs,provider_model,text,NO,'kling-2.6/motion-control'::text
dance_sell,dance_sell_jobs,provider_task_id,text,YES,
dance_sell,dance_sell_jobs,provider_status,text,YES,
dance_sell,dance_sell_jobs,request_json,jsonb,NO,'{}'::jsonb
dance_sell,dance_sell_jobs,submit_response_json,jsonb,YES,
dance_sell,dance_sell_jobs,poll_response_json,jsonb,YES,
dance_sell,dance_sell_jobs,callback_json,jsonb,YES,
dance_sell,dance_sell_jobs,error_json,jsonb,YES,
dance_sell,dance_sell_jobs,result_video_url,text,YES,
dance_sell,dance_sell_jobs,poll_count,integer,NO,0
dance_sell,dance_sell_jobs,next_poll_at,timestamp with time zone,YES,
dance_sell,dance_sell_jobs,submitted_at,timestamp with time zone,YES,
dance_sell,dance_sell_jobs,last_polled_at,timestamp with time zone,YES,
dance_sell,dance_sell_jobs,completed_at,timestamp with time zone,YES,
dance_sell,dance_sell_jobs,created_at,timestamp with time zone,NO,now()
dance_sell,dance_sell_jobs,updated_at,timestamp with time zone,NO,now()
dance_sell,dance_sell_jobs,error_code,text,YES,
dance_sell,dance_sell_jobs,error_message,text,YES,
