schema_name,object_name,object_kind
billing,ai_billing_records,r
billing,ai_provider_attempts,r
billing,token_transactions,r
billing,token_usage_logs,r
billing,token_wallets,r
dance_sell,dance_sell_jobs,r
dance_sell,dance_sell_reference_versions,r
public,app_users,r
public,customer_accounts,r
public,customers,r
public,missing,r
public,render_orders,r
public,service_packages,r
public,todox_ai_character,r
public,todox_ai_character_id_seq,S
public,todox_ai_character_reference,r
public,todox_ai_character_reference_id_seq,S
public,todox_ai_character_render,r
public,todox_ai_character_render_id_seq,S
public,todox_ai_provider,r
public,todox_ai_provider_account,r
public,todox_ai_provider_account_credential,r
public,todox_ai_provider_account_lease,r
public,todox_ai_provider_balance_ledger,r
public,todox_ai_provider_capability,r
public,todox_ai_provider_capability_id_seq,S
public,todox_ai_provider_id_seq,S
public,todox_ai_provider_usage_log,r
public,todox_customer_credit_transaction,r
public,todox_customer_credit_transaction_id_seq,S
public,token_transactions,r
public,token_wallets,r
render,image_render_requests,r
render,marketing_image_render_logs,r
render,render_artifacts,r
render,render_job_events,r
render,render_job_inputs,r
render,render_job_steps,r
render,render_jobs,r
system,api_providers,r
system,app_settings,r
system,database_versions,r
system,foundation_versions,r
system,navigation_menu_groups,r
system,navigation_menu_items,r
system,provider_credentials,r
system,tenants,r
