schemaname,tablename,indexname,indexdef
billing,ai_image_billing_records,ai_image_billing_records_customer_created_ix,"CREATE INDEX ai_image_billing_records_customer_created_ix ON billing.ai_image_billing_records USING btree (tenant_id, customer_id, created_at DESC)"
billing,ai_image_billing_records,ai_image_billing_records_logical_request_uk,CREATE UNIQUE INDEX ai_image_billing_records_logical_request_uk ON billing.ai_image_billing_records USING btree (logical_request_id)
billing,ai_image_billing_records,ai_image_billing_records_payer_created_ix,"CREATE INDEX ai_image_billing_records_payer_created_ix ON billing.ai_image_billing_records USING btree (tenant_id, payer_type, payer_customer_id, created_at DESC)"
billing,ai_image_billing_records,ai_image_billing_records_pkey,CREATE UNIQUE INDEX ai_image_billing_records_pkey ON billing.ai_image_billing_records USING btree (id)
billing,ai_image_billing_records,ai_image_billing_records_provider_created_ix,"CREATE INDEX ai_image_billing_records_provider_created_ix ON billing.ai_image_billing_records USING btree (provider_code, capability_code, created_at DESC)"
billing,ai_image_billing_records,ai_image_billing_records_reconciliation_ix,"CREATE INDEX ai_image_billing_records_reconciliation_ix ON billing.ai_image_billing_records USING btree (status, reserved_until, pending_reconciliation_at, reconciliation_lock_until) WHERE (status = ANY (ARRAY['reserved'::text, 'pending_reconciliation'::text, 'manual_review'::text]))"
billing,ai_image_provider_attempts,ai_image_provider_attempts_pkey,CREATE UNIQUE INDEX ai_image_provider_attempts_pkey ON billing.ai_image_provider_attempts USING btree (id)
billing,ai_image_provider_attempts,ai_image_provider_attempts_record_attempt_uk,"CREATE UNIQUE INDEX ai_image_provider_attempts_record_attempt_uk ON billing.ai_image_provider_attempts USING btree (billing_record_id, attempt_number)"
billing,token_transactions,ix_token_tx_tenant,CREATE INDEX ix_token_tx_tenant ON billing.token_transactions USING btree (tenant_id)
billing,token_transactions,ix_token_tx_wallet,CREATE INDEX ix_token_tx_wallet ON billing.token_transactions USING btree (wallet_id)
billing,token_transactions,token_transactions_pkey,CREATE UNIQUE INDEX token_transactions_pkey ON billing.token_transactions USING btree (id)
billing,token_usage_logs,idx_token_usage_created,CREATE INDEX idx_token_usage_created ON billing.token_usage_logs USING btree (created_at)
billing,token_usage_logs,idx_token_usage_customer,CREATE INDEX idx_token_usage_customer ON billing.token_usage_logs USING btree (customer_id)
billing,token_usage_logs,idx_token_usage_user,CREATE INDEX idx_token_usage_user ON billing.token_usage_logs USING btree (user_id)
billing,token_usage_logs,token_usage_logs_pkey,CREATE UNIQUE INDEX token_usage_logs_pkey ON billing.token_usage_logs USING btree (id)
billing,token_wallets,ix_wallet_tenant,CREATE INDEX ix_wallet_tenant ON billing.token_wallets USING btree (tenant_id)
billing,token_wallets,token_wallets_customer_scope_uk,"CREATE UNIQUE INDEX token_wallets_customer_scope_uk ON billing.token_wallets USING btree (tenant_id, customer_id) WHERE ((wallet_scope = 'customer'::text) AND (customer_id IS NOT NULL))"
billing,token_wallets,token_wallets_pkey,CREATE UNIQUE INDEX token_wallets_pkey ON billing.token_wallets USING btree (id)
billing,token_wallets,token_wallets_system_code_uk,"CREATE UNIQUE INDEX token_wallets_system_code_uk ON billing.token_wallets USING btree (tenant_id, wallet_code) WHERE ((wallet_scope = 'system'::text) AND (wallet_code IS NOT NULL))"
billing,token_wallets,ux_wallet_customer,CREATE UNIQUE INDEX ux_wallet_customer ON billing.token_wallets USING btree (customer_id)
dance_sell,dance_sell_jobs,dance_sell_jobs_customer_created_ix,"CREATE INDEX dance_sell_jobs_customer_created_ix ON dance_sell.dance_sell_jobs USING btree (customer_id, created_at DESC)"
dance_sell,dance_sell_jobs,dance_sell_jobs_logical_request_uk,CREATE UNIQUE INDEX dance_sell_jobs_logical_request_uk ON dance_sell.dance_sell_jobs USING btree (logical_request_id)
dance_sell,dance_sell_jobs,dance_sell_jobs_pkey,CREATE UNIQUE INDEX dance_sell_jobs_pkey ON dance_sell.dance_sell_jobs USING btree (id)
dance_sell,dance_sell_jobs,dance_sell_jobs_provider_task_uk,CREATE UNIQUE INDEX dance_sell_jobs_provider_task_uk ON dance_sell.dance_sell_jobs USING btree (provider_task_id) WHERE (provider_task_id IS NOT NULL)
dance_sell,dance_sell_jobs,dance_sell_jobs_render_job_ix,CREATE INDEX dance_sell_jobs_render_job_ix ON dance_sell.dance_sell_jobs USING btree (render_job_id)
dance_sell,dance_sell_jobs,dance_sell_jobs_status_next_poll_ix,"CREATE INDEX dance_sell_jobs_status_next_poll_ix ON dance_sell.dance_sell_jobs USING btree (status, next_poll_at) WHERE (status = ANY (ARRAY['queued'::text, 'submitted'::text, 'rendering'::text]))"
public,app_users,app_users_pkey,CREATE UNIQUE INDEX app_users_pkey ON public.app_users USING btree (id)
public,app_users,app_users_username_key,CREATE UNIQUE INDEX app_users_username_key ON public.app_users USING btree (username)
public,customer_accounts,customer_accounts_pkey,CREATE UNIQUE INDEX customer_accounts_pkey ON public.customer_accounts USING btree (id)
public,customer_accounts,customer_accounts_username_key,CREATE UNIQUE INDEX customer_accounts_username_key ON public.customer_accounts USING btree (username)
public,customer_accounts,ix_customer_accounts_customer_id,CREATE INDEX ix_customer_accounts_customer_id ON public.customer_accounts USING btree (customer_id)
public,customers,customers_code_key,CREATE UNIQUE INDEX customers_code_key ON public.customers USING btree (code)
public,customers,customers_pkey,CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
public,render_orders,ix_render_orders_customer_id_created_at,"CREATE INDEX ix_render_orders_customer_id_created_at ON public.render_orders USING btree (customer_id, created_at DESC)"
public,render_orders,render_orders_order_code_key,CREATE UNIQUE INDEX render_orders_order_code_key ON public.render_orders USING btree (order_code)
public,render_orders,render_orders_pkey,CREATE UNIQUE INDEX render_orders_pkey ON public.render_orders USING btree (id)
public,service_packages,service_packages_code_key,CREATE UNIQUE INDEX service_packages_code_key ON public.service_packages USING btree (code)
public,service_packages,service_packages_pkey,CREATE UNIQUE INDEX service_packages_pkey ON public.service_packages USING btree (id)
public,todox_ai_character,idx_todox_ai_character_created_at,CREATE INDEX idx_todox_ai_character_created_at ON public.todox_ai_character USING btree (created_at DESC)
public,todox_ai_character,idx_todox_ai_character_customer_id,CREATE INDEX idx_todox_ai_character_customer_id ON public.todox_ai_character USING btree (customer_id)
public,todox_ai_character,idx_todox_ai_character_customer_status,"CREATE INDEX idx_todox_ai_character_customer_status ON public.todox_ai_character USING btree (customer_id, status)"
public,todox_ai_character,idx_todox_ai_character_status,CREATE INDEX idx_todox_ai_character_status ON public.todox_ai_character USING btree (status)
public,todox_ai_character,todox_ai_character_character_code_key,CREATE UNIQUE INDEX todox_ai_character_character_code_key ON public.todox_ai_character USING btree (character_code)
public,todox_ai_character,todox_ai_character_pkey,CREATE UNIQUE INDEX todox_ai_character_pkey ON public.todox_ai_character USING btree (id)
public,todox_ai_character_reference,idx_todox_ai_character_reference_character_id,CREATE INDEX idx_todox_ai_character_reference_character_id ON public.todox_ai_character_reference USING btree (character_id)
public,todox_ai_character_reference,idx_todox_ai_character_reference_customer_id,CREATE INDEX idx_todox_ai_character_reference_customer_id ON public.todox_ai_character_reference USING btree (customer_id)
