table_name,row_count
app_users,0
billing.ai_image_billing_records,15
billing.ai_image_provider_attempts,15
billing.token_transactions,10
billing.token_usage_logs,301
billing.token_wallets,2
customer_accounts,0
customers,0
dance_sell.dance_sell_jobs,0
missing,1
render.image_render_requests,333
render.marketing_image_render_logs,8
render.render_artifacts,0
render.render_events,0
render.render_job_events,58
render.render_job_inputs,0
render.render_job_snapshots,0
render.render_job_steps,0
render.render_jobs,12
render.render_scenes,0
render_orders,0
service_packages,3
system.api_providers,0
system.app_settings,12
system.database_versions,0
system.foundation_versions,7
system.navigation_menu_groups,6
system.navigation_menu_items,19
system.provider_credentials,0
system.tenants,1
todox_ai_character,7
todox_ai_character_reference,0
todox_ai_character_render,47
todox_ai_provider,5
todox_ai_provider_capability,35
todox_ai_provider_usage_log,0
todox_customer_credit_transaction,0
token_transactions,0
token_wallets,0
