"sequence","script","started_at","completed_at","duration_ms","transaction_status","rows_affected","warnings","error_code","error_message"
"2","02_clear_test_data.sql","2026-07-22T14:57:05.7529721+07:00","2026-07-22T14:57:06.1440344+07:00","386","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  skip missing  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated dance_sell.dance_sell_jobs | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_job_inputs | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_artifacts | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_job_events | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_job_steps | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_job_snapshots | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_events | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_artifacts"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_events"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_scenes | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_job_inputs"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_job_steps"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_scenes"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_artifacts"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_events"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""render_job_events"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""dance_sell_jobs"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table ""video_projects"" | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated render.render_jobs | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated public.todox_ai_provider_usage_log | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated billing.ai_image_provider_attempts | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncate cascades to table  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  truncated billing.ai_image_billing_records | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  skip missing  | psql:database/manual/ai-core-reset/02_clear_test_data.sql:35: NOTICE:  skip missing ","",""
"3","03_drop_legacy_tables.sql","2026-07-22T14:57:06.2763823+07:00","2026-07-22T14:57:06.4162675+07:00","140","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/03_drop_legacy_tables.sql:6: NOTICE:  table  | psql:database/manual/ai-core-reset/03_drop_legacy_tables.sql:7: NOTICE:  table ""todox_ai_operation_assets"" does not  | psql:database/manual/ai-core-reset/03_drop_legacy_tables.sql:8: NOTICE:  table ""dance_sell_provider_operations"" does  | psql:database/manual/ai-core-reset/03_drop_legacy_tables.sql:9: NOTICE:  table ""todox_ai_feature_provider_route"" does ","",""
"4","04_normalize_provider.sql","2026-07-22T14:57:06.4233071+07:00","2026-07-22T14:57:06.5659636+07:00","142","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/04_normalize_provider.sql:16: NOTICE:  column ""endpoint_path"" of  | psql:database/manual/ai-core-reset/04_normalize_provider.sql:16: NOTICE:  column ""provider_code"" of relation ","",""
"5","05_create_provider_accounts.sql","2026-07-22T14:57:06.5765150+07:00","2026-07-22T14:57:06.8105776+07:00","233","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/05_create_provider_accounts.sql:5: NOTICE:  extension ""pgcrypto"" already  | psql:database/manual/ai-core-reset/05_create_provider_accounts.sql:7: NOTICE:  table ""todox_ai_provider_account"" does ","",""
"6","06_create_provider_account_credentials.sql","2026-07-22T14:57:06.8166138+07:00","2026-07-22T14:57:06.9507541+07:00","134","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/06_create_provider_account_credentials.sql:5: NOTICE:  extension  | psql:database/manual/ai-core-reset/06_create_provider_account_credentials.sql:7: NOTICE:  table ","",""
"7","09_rebuild_render_core.sql","2026-07-22T14:57:06.9724754+07:00","2026-07-22T14:57:07.2821065+07:00","309","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/09_rebuild_render_core.sql:5: NOTICE:  extension ""pgcrypto"" already  | psql:database/manual/ai-core-reset/09_rebuild_render_core.sql:6: NOTICE:  schema ""render"" already exists, skipping | psql:database/manual/ai-core-reset/09_rebuild_render_core.sql:15: NOTICE:  drop cascades to 4 other objects","",""
"8","07_create_provider_account_leases.sql","2026-07-22T14:57:07.2889155+07:00","2026-07-22T14:57:07.4485694+07:00","159","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/07_create_provider_account_leases.sql:5: NOTICE:  extension ""pgcrypto""  | psql:database/manual/ai-core-reset/07_create_provider_account_leases.sql:7: NOTICE:  table ","",""
"9","08_create_provider_balance_ledger.sql","2026-07-22T14:57:07.4539410+07:00","2026-07-22T14:57:07.7355089+07:00","281","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/08_create_provider_balance_ledger.sql:5: NOTICE:  extension ""pgcrypto""  | psql:database/manual/ai-core-reset/08_create_provider_balance_ledger.sql:7: NOTICE:  table ","",""
"10","10_rebuild_provider_usage.sql","2026-07-22T14:57:07.7417489+07:00","2026-07-22T14:57:07.8747819+07:00","133","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/10_rebuild_provider_usage.sql:5: NOTICE:  extension ""pgcrypto"" already ","",""
"11","11_rebuild_ai_billing.sql","2026-07-22T14:57:07.8824793+07:00","2026-07-22T14:57:08.1686927+07:00","286","committed-or-readonly","see-script-output","psql.exe : psql:database/manual/ai-core-reset/11_rebuild_ai_billing.sql:5: NOTICE:  extension ""pgcrypto"" already  | psql:database/manual/ai-core-reset/11_rebuild_ai_billing.sql:6: NOTICE:  schema ""billing"" already exists, skipping | psql:database/manual/ai-core-reset/11_rebuild_ai_billing.sql:8: NOTICE:  table ""ai_provider_attempts"" does not exist,  | psql:database/manual/ai-core-reset/11_rebuild_ai_billing.sql:9: NOTICE:  table ""ai_billing_records"" does not exist, ","",""
