"Path","Line","LegacyObject","Snippet","Task3Target"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","194","todox_ai_operation_billing_transactions","Assert.Contains(""todox_ai_operation_billing_transactions"", harden);","billing.ai_billing_records/token_transactions"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","195","dance_sell_provider_operations","Assert.Contains(""dance_sell_provider_operations_status_ck"", harden);","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web.Tests\DanceSellAiOperationsTests.cs","196","dance_sell_provider_operations","Assert.Contains(""dance_sell_provider_operations_usage_unit_ck"", harden);","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\docs\kie-dance-sell-phase-0.md","46","ai_image_billing_records","- Billing reservation moi hon: `billing.ai_image_billing_records`, `billing.ai_image_provider_attempts`, service `IAiImageBillingService`.","billing.ai_billing_records"
"TodoX.Web\docs\kie-dance-sell-phase-0.md","46","ai_image_provider_attempts","- Billing reservation moi hon: `billing.ai_image_billing_records`, `billing.ai_image_provider_attempts`, service `IAiImageBillingService`.","billing.ai_provider_attempts"
"TodoX.Web\docs\kie-dance-sell-phase-0.md","111","ai_image_billing_records","| `billing.ai_image_billing_records` | `logical_request_id`, `provider_*`, `feature_code`, `requested_model`, `provider_task_id`, `*_cost_usd`, `exchange_rate_vnd_per_usd`, `todox_vnd_per_point`, `*_points`, `status`, `tariff_snapshot_json`, `metadata_json` | ten bang la `ai_image` nhung dang duoc dung cho scene video; co the tai su dung cho dance-sell de giam thay doi, hoac doi ten/tao billing generic o phase sau | Khong bat buoc |","billing.ai_billing_records"
"TodoX.Web\docs\kie-dance-sell-phase-0.md","112","ai_image_provider_attempts","| `billing.ai_image_provider_attempts` | attempt/cost/error/raw_usage_json | du cho KIE attempt neu dung billing service hien tai | Khong |","billing.ai_provider_attempts"
"TodoX.Web\docs\kie-dance-sell-phase-0.md","387","ai_image_billing_records","- Nen them KIE nhu provider/capability rieng va them pipeline `dance-sell` rieng dua tren `render.render_jobs`, `media.media_files`, `billing.ai_image_billing_records`, khong sua OpenRouter/YEScale path.","billing.ai_billing_records"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","157","todox_ai_feature_provider_route","FROM public.todox_ai_feature_provider_route","public.todox_ai_provider_capability + provider account resolver"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","286","dance_sell_provider_operations","INSERT INTO dance_sell.dance_sell_provider_operations","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","345","dance_sell_provider_operations","FROM dance_sell.dance_sell_provider_operations","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","361","dance_sell_provider_operations","UPDATE dance_sell.dance_sell_provider_operations","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","375","dance_sell_provider_operations","UPDATE dance_sell.dance_sell_provider_operations","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","394","dance_sell_provider_operations","UPDATE dance_sell.dance_sell_provider_operations","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","409","todox_ai_operation_assets","INSERT INTO public.todox_ai_operation_assets","render.render_artifacts"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","485","dance_sell_provider_operations","FROM dance_sell.dance_sell_provider_operations o","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","497","todox_ai_operation_assets","FROM public.todox_ai_operation_assets","render.render_artifacts"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","558","dance_sell_provider_operations","FROM dance_sell.dance_sell_provider_operations o","render.render_jobs + billing.ai_provider_attempts + usage log"
"TodoX.Web\Services\DanceSell\DanceSellAiOperations.cs","562","todox_ai_operation_assets","FROM public.todox_ai_operation_assets","render.render_artifacts"
"TodoX.Web\Services\AiProviders\AiImageBillingDashboardService.cs","79","ai_image_billing_records","FROM billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingDashboardService.cs","116","ai_image_billing_records","FROM billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","319","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","364","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","395","ai_image_billing_records","FROM billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","407","ai_image_billing_records","UPDATE billing.ai_image_billing_records r","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","443","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","461","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","588","ai_image_billing_records","INSERT INTO billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","656","ai_image_billing_records","FROM billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","666","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","711","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","744","ai_image_provider_attempts","INSERT INTO billing.ai_image_provider_attempts","billing.ai_provider_attempts"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","754","ai_image_provider_attempts","provider_task_id = COALESCE(EXCLUDED.provider_task_id, billing.ai_image_provider_attempts.provider_task_id),","billing.ai_provider_attempts"
"TodoX.Web\Services\AiProviders\AiImageBillingService.cs","784","ai_image_billing_records","UPDATE billing.ai_image_billing_records","billing.ai_billing_records"
