provider_code,capability_code,model_name,enabled,is_default,allow_user_select,unit_type
image_ai_creative_render,avatar_generation,internal_default,t,t,t,image
image_ai_creative_render,character_generation,internal_default,t,t,t,image
image_ai_creative_render,chibi_avatar_generation,internal_default,t,t,t,image
image_ai_creative_render,scene_image_generation,internal_default,t,t,t,image
kie,dance_sell_motion_video,kling-2.6/motion-control,t,t,t,credits
kie,dance_sell_reference_image,gpt-image-2-image-to-image,t,t,t,credits
openrouter,avatar_generation,bytedance-seed/seedream-4.5,t,f,t,image
openrouter,character_generation,bytedance-seed/seedream-4.5,f,f,t,image
openrouter,chibi_avatar_generation,bytedance-seed/seedream-4.5,f,f,t,image
openrouter,image_generation,bytedance-seed/seedream-4.5,f,f,t,image
openrouter,image_to_video,google/veo-3.1,t,f,t,second
openrouter,poster_generation,bytedance-seed/seedream-4.5,t,f,t,image
openrouter,text_to_video,google/veo-3.1,t,t,t,second
openrouter,thumbnail_generation,bytedance-seed/seedream-4.5,t,f,t,image
yescale_task_image,avatar_generation,gpt-image,t,f,t,request
yescale_task_image,avatar_generation,nano-banana-2,t,f,t,request
yescale_task_image,avatar_generation,seedream-5,t,f,f,request
yescale_task_image,character_generation,gpt-image,t,f,t,request
yescale_task_image,character_generation,nano-banana-2,t,f,t,request
yescale_task_image,character_generation,seedream-5,t,f,f,request
yescale_task_image,chibi_avatar_generation,gpt-image,t,f,t,request
yescale_task_image,chibi_avatar_generation,nano-banana-2,t,f,t,request
yescale_task_image,chibi_avatar_generation,seedream-5,t,f,f,request
yescale_task_image,image_generation,gpt-image,t,f,t,request
yescale_task_image,image_generation,nano-banana-2,t,t,t,request
yescale_task_image,image_generation,seedream-5,t,f,f,request
yescale_task_image,poster_generation,gpt-image,t,f,t,request
yescale_task_image,poster_generation,nano-banana-2,t,t,t,request
yescale_task_image,poster_generation,seedream-5,t,f,f,request
yescale_task_image,scene_image_generation,gpt-image,t,f,t,request
yescale_task_image,scene_image_generation,nano-banana-2,t,f,t,request
yescale_task_image,scene_image_generation,seedream-5,t,f,f,request
yescale_task_image,thumbnail_generation,gpt-image,t,f,t,request
yescale_task_image,thumbnail_generation,nano-banana-2,t,t,t,request
yescale_task_image,thumbnail_generation,seedream-5,t,f,f,request
yescale_task_video,image_to_video,omni-flash,t,t,t,request
